日期,代號,名稱,開盤,最高,最低,收盤,成交量,還原收盤
2024-06-19,2301,光寶科,106.0,107.5,104.5,106.0,22202703,98.28372955322266
2024-06-20,2301,光寶科,106.0,107.5,105.5,106.0,11734891,98.28372955322266
2024-06-21,2301,光寶科,105.5,107.0,104.0,105.0,18483384,97.35652160644531
2024-06-24,2301,光寶科,105.0,105.5,103.5,103.5,13390678,95.96571350097656
2024-06-25,2301,光寶科,104.0,105.0,102.0,105.0,13844478,97.35652160644531
2024-06-26,2301,光寶科,105.5,107.0,104.0,106.5,24080481,98.74732971191406
2024-06-27,2301,光寶科,106.0,108.0,105.0,108.0,39392500,100.13813781738281
2024-06-28,2301,光寶科,108.0,108.5,106.0,106.0,30649345,98.28372955322266
2024-07-01,2301,光寶科,107.0,110.5,106.5,110.5,39988817,102.45614624023438
2024-07-02,2301,光寶科,110.0,110.0,108.0,110.0,26626627,101.99254608154297
2024-07-03,2301,光寶科,110.5,111.0,107.0,108.0,23313824,100.13813781738281
2024-07-04,2301,光寶科,108.5,112.0,108.0,111.5,43863835,103.38335418701172
2024-07-05,2301,光寶科,110.5,111.0,107.0,107.0,25060165,99.21092987060547
2024-07-08,2301,光寶科,107.0,108.5,105.5,107.5,21259705,99.67453002929688
2024-07-09,2301,光寶科,107.5,108.0,105.0,107.0,17789480,99.21092987060547
2024-07-10,2301,光寶科,107.5,111.5,107.0,109.0,33286381,101.06534576416016
2024-07-11,2301,光寶科,110.0,111.5,109.0,109.5,16461747,101.52893829345703
2024-07-12,2301,光寶科,109.0,110.5,108.0,109.0,10762270,101.06534576416016
2024-07-15,2301,光寶科,109.5,110.0,108.5,109.0,6881393,101.06534576416016
2024-07-16,2301,光寶科,109.5,111.0,109.0,111.0,13408711,102.91975402832031
2024-07-17,2301,光寶科,111.0,111.0,108.0,108.0,17861914,100.13813781738281
2024-07-18,2301,光寶科,106.5,109.5,106.0,109.5,15268195,101.52893829345703
2024-07-19,2301,光寶科,109.0,109.5,107.5,109.5,16187742,101.52893829345703
2024-07-22,2301,光寶科,108.5,109.0,104.0,106.0,18839547,98.28372955322266
2024-07-23,2301,光寶科,106.5,107.5,104.5,106.0,16195623,98.28372955322266
2024-07-26,2301,光寶科,101.5,103.0,99.9000015258789,102.0,19278083,94.57490539550781
2024-07-29,2301,光寶科,103.0,103.5,99.80000305175781,99.80000305175781,15319391,92.5350570678711
2024-07-30,2301,光寶科,99.0,99.80000305175781,96.69999694824219,99.80000305175781,20074885,92.5350570678711
2024-07-31,2301,光寶科,99.0,100.0,98.0,99.0999984741211,13119026,91.8860092163086
2024-08-01,2301,光寶科,103.0,109.0,102.5,109.0,36160844,101.06534576416016
2024-08-02,2301,光寶科,107.0,110.0,105.0,106.0,50327109,98.28372955322266
2024-08-05,2301,光寶科,100.5,101.0,95.4000015258789,95.9000015258789,37980802,88.9189682006836
2024-08-06,2301,光寶科,99.80000305175781,99.80000305175781,93.19999694824219,98.5,23100260,91.32969665527344
2024-08-07,2301,光寶科,99.5,105.0,99.0,104.0,19342846,96.42931365966797
2024-08-08,2301,光寶科,102.0,104.0,100.5,102.0,18228548,94.57490539550781
2024-08-09,2301,光寶科,105.0,105.5,103.0,104.0,13998851,96.42931365966797
2024-08-12,2301,光寶科,104.5,105.0,103.5,105.0,7366940,97.35652160644531
2024-08-13,2301,光寶科,106.0,108.0,103.5,108.0,16676419,100.13813781738281
2024-08-14,2301,光寶科,108.5,109.5,106.0,109.5,17584562,101.52893829345703
2024-08-15,2301,光寶科,109.5,110.0,107.0,107.0,10064706,99.21092987060547
2024-08-16,2301,光寶科,108.5,109.0,107.0,108.0,16649311,100.13813781738281
2024-08-19,2301,光寶科,106.5,109.0,106.0,109.0,18221941,102.97223663330078
2024-08-20,2301,光寶科,109.0,109.5,107.0,107.0,8539035,101.08283233642578
2024-08-21,2301,光寶科,107.0,108.0,106.0,107.0,5279126,101.08283233642578
2024-08-22,2301,光寶科,107.5,108.0,106.0,106.5,4866710,100.61048889160156
2024-08-23,2301,光寶科,107.0,108.0,105.5,107.5,6602597,101.55518341064453
2024-08-26,2301,光寶科,108.0,109.0,107.0,107.5,5085536,101.55518341064453
2024-08-27,2301,光寶科,107.0,108.0,106.5,107.5,3471744,101.55518341064453
2024-08-28,2301,光寶科,107.5,108.0,106.0,106.5,5394996,100.61048889160156
2024-08-29,2301,光寶科,105.5,107.5,104.0,106.5,8703097,100.61048889160156
2024-08-30,2301,光寶科,107.0,108.0,106.5,107.0,13928401,101.08283233642578
2024-09-02,2301,光寶科,107.5,108.0,106.0,107.0,3502279,101.08283233642578
2024-09-03,2301,光寶科,106.5,107.0,104.5,105.0,7492409,99.19343566894531
2024-09-04,2301,光寶科,100.5,103.5,99.19999694824219,100.5,11465244,94.94229888916016
2024-09-05,2301,光寶科,102.5,103.0,101.0,101.5,7363435,95.8869857788086
2024-09-06,2301,光寶科,101.5,103.0,100.5,102.0,5190168,96.35933685302734
2024-09-09,2301,光寶科,100.0,102.5,100.0,101.5,6637925,95.8869857788086
2024-09-10,2301,光寶科,101.5,102.5,96.69999694824219,96.69999694824219,12821147,91.35242462158203
2024-09-11,2301,光寶科,95.5,99.5999984741211,95.5,99.5999984741211,7948477,94.09205627441406
2024-09-12,2301,光寶科,101.0,102.0,100.5,101.5,7135705,95.8869857788086
2024-09-13,2301,光寶科,102.0,102.0,100.0,101.5,7023570,95.8869857788086
2024-09-16,2301,光寶科,101.5,101.5,100.5,101.5,2457162,95.8869857788086
2024-09-18,2301,光寶科,101.5,102.5,99.80000305175781,100.5,8093496,94.94229888916016
2024-09-19,2301,光寶科,100.5,102.0,99.5,100.5,10604995,94.94229888916016
2024-09-20,2301,光寶科,100.5,102.0,98.69999694824219,98.69999694824219,20827191,93.24182891845703
2024-09-23,2301,光寶科,100.0,100.0,98.0,98.5999984741211,8091454,93.14735412597656
2024-09-24,2301,光寶科,98.69999694824219,100.5,98.69999694824219,99.5999984741211,8883727,94.09205627441406
2024-09-25,2301,光寶科,100.5,102.0,100.0,100.5,10433988,94.94229888916016
2024-09-26,2301,光寶科,101.5,102.0,99.5,100.0,7700163,94.4699478149414
2024-09-27,2301,光寶科,101.0,101.5,100.0,100.0,7795387,94.4699478149414
2024-09-30,2301,光寶科,100.5,101.0,99.5,99.5,5642422,93.99759674072266
2024-10-01,2301,光寶科,100.0,102.0,100.0,101.5,5732945,95.8869857788086
2024-10-04,2301,光寶科,100.5,101.5,99.80000305175781,99.80000305175781,7541730,94.28099822998047
2024-10-07,2301,光寶科,100.5,101.5,100.5,101.0,5379987,95.41463470458984
2024-10-08,2301,光寶科,100.5,100.5,99.0,99.69999694824219,6185790,94.1865234375
2024-10-09,2301,光寶科,100.0,102.0,100.0,100.5,5720686,94.94229888916016
2024-10-11,2301,光寶科,100.5,101.5,100.0,100.5,3784820,94.94229888916016
2024-10-14,2301,光寶科,101.0,102.0,100.5,101.5,3533837,95.8869857788086
2024-10-15,2301,光寶科,102.0,103.0,101.0,101.5,5752193,95.8869857788086
2024-10-16,2301,光寶科,101.0,102.5,101.0,101.5,7013980,95.8869857788086
2024-10-17,2301,光寶科,102.0,105.0,102.0,104.5,10058291,98.72108459472656
2024-10-18,2301,光寶科,106.0,107.0,104.0,104.5,10944557,98.72108459472656
2024-10-21,2301,光寶科,104.5,106.0,104.0,106.0,4859705,100.13813781738281
2024-10-22,2301,光寶科,105.5,106.0,104.0,105.0,4082338,99.19343566894531
2024-10-23,2301,光寶科,105.0,105.0,103.5,104.0,4157051,98.24873352050781
2024-10-24,2301,光寶科,103.5,104.0,102.5,103.0,5846492,97.30403137207031
2024-10-25,2301,光寶科,103.5,104.5,103.0,104.0,2649955,98.24873352050781
2024-10-28,2301,光寶科,104.5,105.5,104.0,104.5,3626492,98.72108459472656
2024-10-29,2301,光寶科,105.0,105.0,102.0,103.0,4949086,97.30403137207031
2024-10-30,2301,光寶科,104.0,104.5,102.5,102.5,6000543,96.83168029785156
2024-11-01,2301,光寶科,99.5,101.0,99.0,101.0,14764016,95.41463470458984
2024-11-04,2301,光寶科,101.0,102.5,100.0,102.0,5530186,96.35933685302734
2024-11-05,2301,光寶科,101.5,102.5,101.0,102.5,4094142,96.83168029785156
2024-11-06,2301,光寶科,102.5,105.5,102.0,105.5,8494239,99.66578674316406
2024-11-07,2301,光寶科,105.0,106.0,104.5,105.0,3724534,99.19343566894531
2024-11-08,2301,光寶科,106.0,106.0,105.0,105.0,3528522,99.19343566894531
2024-11-11,2301,光寶科,106.5,111.0,106.0,109.0,32314172,102.97223663330078
2024-11-12,2301,光寶科,107.0,108.0,105.0,105.0,15325648,99.19343566894531
2024-11-13,2301,光寶科,105.0,108.0,105.0,107.0,7927273,101.08283233642578
2024-11-14,2301,光寶科,107.0,107.5,105.0,105.0,8371625,99.19343566894531
2024-11-15,2301,光寶科,106.0,106.5,101.5,101.5,13203026,95.8869857788086
2024-11-18,2301,光寶科,102.0,103.0,100.5,100.5,7239470,94.94229888916016
2024-11-19,2301,光寶科,102.0,103.5,100.5,102.5,6184439,96.83168029785156
2024-11-20,2301,光寶科,101.5,101.5,101.5,101.5,7300709,95.8869857788086
2024-11-21,2301,光寶科,101.5,104.0,101.0,103.5,5212320,97.77638244628906
2024-11-22,2301,光寶科,104.0,107.5,104.0,107.0,10824930,101.08283233642578
2024-11-25,2301,光寶科,108.0,109.5,106.0,106.0,22520700,100.13813781738281
2024-11-26,2301,光寶科,106.0,107.0,105.0,107.0,7440591,101.08283233642578
2024-11-27,2301,光寶科,106.0,106.5,104.5,104.5,7323240,98.72108459472656
2024-11-28,2301,光寶科,104.5,105.0,102.5,104.0,6413788,98.24873352050781
2024-11-29,2301,光寶科,103.0,105.5,102.5,104.0,7103382,98.24873352050781
2024-12-02,2301,光寶科,105.5,107.0,105.0,105.5,4993488,99.66578674316406
2024-12-03,2301,光寶科,106.0,108.0,105.0,105.5,11949101,99.66578674316406
2024-12-04,2301,光寶科,105.5,106.0,103.5,104.5,10638188,98.72108459472656
2024-12-05,2301,光寶科,104.5,105.0,103.5,104.0,9238548,98.24873352050781
2024-12-06,2301,光寶科,104.0,106.0,103.5,104.5,6971658,98.72108459472656
2024-12-09,2301,光寶科,105.0,106.0,104.0,105.0,4189352,99.19343566894531
2024-12-10,2301,光寶科,105.0,105.5,102.0,103.0,8134393,97.30403137207031
2024-12-11,2301,光寶科,103.0,104.5,102.5,102.5,5943836,96.83168029785156
2024-12-12,2301,光寶科,103.5,106.0,103.0,104.5,7365471,98.72108459472656
2024-12-13,2301,光寶科,104.0,104.5,101.5,102.0,7458809,96.35933685302734
2024-12-16,2301,光寶科,103.0,103.0,100.5,100.5,5070638,94.94229888916016
2024-12-17,2301,光寶科,100.0,101.5,99.80000305175781,99.80000305175781,9654334,94.28099822998047
2024-12-18,2301,光寶科,99.80000305175781,101.0,99.80000305175781,100.5,5463641,94.94229888916016
